Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
174,Collin Gillespie,PG,24,DEN,24,0,94,13,29,.464,6,16,.395,7,13,.548,.572,3,5,.667,0,8,9,11,5,0,6,10,36
175,Jacob Gilyard,PG,25,TOT,41,14,170,15,37,.400,12,31,.405,2,6,.375,.570,0,0,1.000,2,9,11,33,8,1,7,10,42
175,Jacob Gilyard,PG,25,MEM,37,14,177,16,39,.417,14,32,.425,2,6,.375,.594,1,1,1.000,2,9,12,35,7,1,8,9,47
175,Jacob Gilyard,PG,25,BRK,4,0,113,0,15,.000,0,15,.000,0,0,,.000,0,0,,3,5,8,15,15,0,3,10,0
176,Rudy Gobert,C,31,MIN,76,76,341,53,81,.661,0,0,.000,53,80,.664,.661,33,51,.638,38,92,129,13,7,21,16,31,140
177,Jordan Goodwin,PG,25,TOT,57,12,185,25,67,.369,7,25,.298,17,42,.411,.424,8,10,.746,15,29,44,27,8,3,10,13,65
177,Jordan Goodwin,PG,25,PHO,40,0,140,19,48,.389,6,20,.288,13,28,.460,.448,6,7,.862,10,19,29,20,6,2,7,11,50
177,Jordan Goodwin,PG,25,MEM,17,12,292,39,111,.349,11,36,.311,28,75,.367,.399,11,18,.633,28,52,80,45,15,5,16,19,100
178,Aaron Gordon,PF,28,DEN,73,73,315,55,98,.556,5,19,.290,49,79,.619,.584,24,37,.658,24,41,65,35,8,6,14,19,139
179,Eric Gordon,SG,35,PHO,68,24,278,40,91,.443,22,58,.378,18,33,.561,.565,8,9,.797,2,16,18,20,10,4,11,12,110
180,Devonte' Graham,PG,28,SAS,23,0,136,17,47,.352,11,36,.301,6,11,.520,.468,6,7,.813,2,13,16,21,4,1,7,6,50
181,Jerami Grant,PF,29,POR,54,54,339,71,157,.451,21,51,.402,50,106,.474,.516,47,58,.817,7,29,35,28,8,6,21,22,210
